symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,status,entry_amt5k,exit_amt5k,pnl5k
SNDK,2026-04-15,934.4199,14104.9909,2026-06-24 (OPEN),1923.83,13955620.45686809,105.88495600318444,open,OPEN,65899.92093139456,135678.023215735,69778.10228434045
NVDA,2021-06-28,19.5785,51035.4955,2021-07-27,18.8173,-38848.17,-3.89,20,closed,4995.992243233749,4801.75114736075,-194.24085
INTU,2021-07-28,511.8256,1873.3219,2021-08-03,518.753,12977.17,1.35,4,closed,4794.0705273032,4858.9567779535,64.88585
NVDA,2021-08-04,19.8616,48849.7223,2021-08-17,19.0622,-39050.69,-4.02,9,closed,4851.1682221684005,4655.9158821353,-195.25345000000002
AMD,2021-08-18,105.6059,8803.4276,2021-08-24,109.9041,37838.48,4.07,4,closed,4648.4694739142005,4837.6639364658,189.19240000000002
NVDA,2021-08-25,21.7612,44390.1861,2021-09-21,20.8175,-41889.2,-4.34,18,closed,4829.9185887966,4620.46349568375,-209.446
PANW,2021-09-22,74.2863,12419.7227,2021-10-19,79.9861,70790.04,7.67,19,closed,4613.07623204505,4967.02590927235,353.9502
AMD,2021-10-20,118.8271,8346.709,2021-10-26,125.504,55730.5,5.62,4,closed,4959.0761250695,5237.726831680001,278.65250000000003
TSLA,2021-10-27,338.6368,3088.4685,2021-11-09,333.9513,-14470.86,-1.38,9,closed,5229.345448704,5156.99035292025,-72.35430000000001
NVDA,2021-11-10,28.8649,35674.6953,2021-12-07,31.777,103885.79,10.09,18,closed,5148.73256182485,5668.1739627405,519.42895
MRVL,2021-12-08,90.7308,12474.4659,2022-01-04,87.8287,-36202.39,-3.2,18,closed,5659.0913533986,5478.080615956649,-181.01195
TSLA,2022-01-05,355.0358,3080.9928,2022-01-25,299.6589,-170615.72,-15.6,13,closed,5469.3137177112,4616.2345667796,-853.0786
TSLA,2022-04-06,341.2144,2701.4362,2022-04-12,322.0257,-51837.16,-5.62,4,closed,4608.844660606401,4349.6594165517,-259.18580000000003
CDNS,2022-08-10,188.8299,4599.5842,2022-08-23,183.4747,-24631.69,-2.84,9,closed,4342.695122637901,4219.5366560987,-123.15845
AXON,2023-02-08,185.6711,4537.8961,2023-02-22,189.5053,17399.2,2.07,9,closed,4212.78080286355,4299.77680899665,86.99600000000001
ABNB,2023-02-23,128.0277,6706.1935,2023-02-28,124.8624,-21227.11,-2.47,3,closed,4292.89264779975,4186.7570763720005,-106.13555000000001
AXON,2023-03-01,206.7394,4043.79,2023-05-02,215.686,36178.17,4.33,43,closed,4180.05359163,4360.9444497,180.89085
