Symbol,Series
MMM,EQ
AOS,EQ
ABT,EQ
ABBV,EQ
ACN,EQ
ADBE,EQ
AMD,EQ
AES,EQ
AFL,EQ
A,EQ
APD,EQ
ABNB,EQ
AKAM,EQ
ALB,EQ
ARE,EQ
ALGN,EQ
ALLE,EQ
LNT,EQ
ALL,EQ
GOOGL,EQ
GOOG,EQ
MO,EQ
AMZN,EQ
AMCR,EQ
AEE,EQ
AEP,EQ
AXP,EQ
AIG,EQ
AMT,EQ
AWK,EQ
AMP,EQ
AME,EQ
AMGN,EQ
APH,EQ
ADI,EQ
AON,EQ
APA,EQ
APO,EQ
AAPL,EQ
AMAT,EQ
APP,EQ
APTV,EQ
ACGL,EQ
ADM,EQ
ARES,EQ
ANET,EQ
AJG,EQ
AIZ,EQ
T,EQ
ATO,EQ
ADSK,EQ
ADP,EQ
AZO,EQ
AVB,EQ
AVY,EQ
AXON,EQ
BKR,EQ
BALL,EQ
BAC,EQ
BAX,EQ
BDX,EQ
BRK-B,EQ
BBY,EQ
TECH,EQ
BIIB,EQ
BLK,EQ
BX,EQ
XYZ,EQ
BNY,EQ
BA,EQ
BKNG,EQ
BSX,EQ
BMY,EQ
AVGO,EQ
BR,EQ
BRO,EQ
BF-B,EQ
BLDR,EQ
BG,EQ
BXP,EQ
CHRW,EQ
CDNS,EQ
CPT,EQ
COF,EQ
CAH,EQ
CCL,EQ
CARR,EQ
CVNA,EQ
CASY,EQ
CAT,EQ
CBOE,EQ
CBRE,EQ
CDW,EQ
COR,EQ
CNC,EQ
CNP,EQ
CF,EQ
CRL,EQ
SCHW,EQ
CHTR,EQ
CVX,EQ
CMG,EQ
CB,EQ
CHD,EQ
CIEN,EQ
CI,EQ
CINF,EQ
CTAS,EQ
CSCO,EQ
C,EQ
CFG,EQ
CLX,EQ
CME,EQ
CMS,EQ
KO,EQ
CTSH,EQ
COHR,EQ
COIN,EQ
CL,EQ
CMCSA,EQ
FIX,EQ
CAG,EQ
COP,EQ
ED,EQ
STZ,EQ
CEG,EQ
COO,EQ
CPRT,EQ
GLW,EQ
CPAY,EQ
CTVA,EQ
CSGP,EQ
COST,EQ
CRH,EQ
CRWD,EQ
CCI,EQ
CSX,EQ
CMI,EQ
CVS,EQ
DHR,EQ
DRI,EQ
DDOG,EQ
DVA,EQ
DECK,EQ
DE,EQ
DELL,EQ
DAL,EQ
DVN,EQ
DXCM,EQ
FANG,EQ
DLR,EQ
DG,EQ
DLTR,EQ
D,EQ
DPZ,EQ
DASH,EQ
DOV,EQ
DOW,EQ
DHI,EQ
DTE,EQ
DUK,EQ
DD,EQ
ETN,EQ
EBAY,EQ
SATS,EQ
ECL,EQ
EIX,EQ
EW,EQ
EA,EQ
ELV,EQ
EME,EQ
EMR,EQ
ETR,EQ
EOG,EQ
EQT,EQ
EFX,EQ
EQIX,EQ
EQR,EQ
ERIE,EQ
ESS,EQ
EL,EQ
EG,EQ
EVRG,EQ
ES,EQ
EXC,EQ
EXE,EQ
EXPE,EQ
EXPD,EQ
EXR,EQ
XOM,EQ
FFIV,EQ
FDS,EQ
FICO,EQ
FAST,EQ
FRT,EQ
FDX,EQ
FDXF,EQ
FIS,EQ
FITB,EQ
FSLR,EQ
FE,EQ
FISV,EQ
FLEX,EQ
F,EQ
FTNT,EQ
FTV,EQ
FOXA,EQ
FOX,EQ
BEN,EQ
FCX,EQ
GRMN,EQ
IT,EQ
GE,EQ
GEHC,EQ
GEV,EQ
GEN,EQ
GNRC,EQ
GD,EQ
GIS,EQ
GM,EQ
GPC,EQ
GILD,EQ
GPN,EQ
GL,EQ
GDDY,EQ
GS,EQ
HAL,EQ
HIG,EQ
HAS,EQ
HCA,EQ
DOC,EQ
HSIC,EQ
HSY,EQ
HPE,EQ
HLT,EQ
HD,EQ
HON,EQ
HRL,EQ
HST,EQ
HWM,EQ
HPQ,EQ
HUBB,EQ
HUM,EQ
HBAN,EQ
HII,EQ
IBM,EQ
IEX,EQ
IDXX,EQ
ITW,EQ
INCY,EQ
IR,EQ
PODD,EQ
INTC,EQ
IBKR,EQ
ICE,EQ
IFF,EQ
IP,EQ
INTU,EQ
ISRG,EQ
IVZ,EQ
INVH,EQ
IQV,EQ
IRM,EQ
JBHT,EQ
JBL,EQ
JKHY,EQ
J,EQ
JNJ,EQ
JCI,EQ
JPM,EQ
KVUE,EQ
KDP,EQ
KEY,EQ
KEYS,EQ
KMB,EQ
KIM,EQ
KMI,EQ
KKR,EQ
KLAC,EQ
KHC,EQ
KR,EQ
LHX,EQ
LH,EQ
LRCX,EQ
LVS,EQ
LDOS,EQ
LEN,EQ
LII,EQ
LLY,EQ
LIN,EQ
LYV,EQ
LMT,EQ
L,EQ
LOW,EQ
LULU,EQ
LITE,EQ
LYB,EQ
MTB,EQ
MPC,EQ
MAR,EQ
MRSH,EQ
MLM,EQ
MRVL,EQ
MAS,EQ
MA,EQ
MKC,EQ
MCD,EQ
MCK,EQ
MDT,EQ
MRK,EQ
META,EQ
MET,EQ
MTD,EQ
MGM,EQ
MCHP,EQ
MU,EQ
MSFT,EQ
MAA,EQ
MRNA,EQ
TAP,EQ
MDLZ,EQ
MPWR,EQ
MNST,EQ
MCO,EQ
MS,EQ
MOS,EQ
MSI,EQ
MSCI,EQ
NDAQ,EQ
NTAP,EQ
NFLX,EQ
NEM,EQ
NWSA,EQ
NWS,EQ
NEE,EQ
NKE,EQ
NI,EQ
NDSN,EQ
NSC,EQ
NTRS,EQ
NOC,EQ
NCLH,EQ
NRG,EQ
NUE,EQ
NVDA,EQ
NVR,EQ
NXPI,EQ
ORLY,EQ
OXY,EQ
ODFL,EQ
OMC,EQ
ON,EQ
OKE,EQ
ORCL,EQ
OTIS,EQ
PCAR,EQ
PKG,EQ
PLTR,EQ
PANW,EQ
PSKY,EQ
PH,EQ
PAYX,EQ
PYPL,EQ
PNR,EQ
PEP,EQ
PFE,EQ
PCG,EQ
PM,EQ
PSX,EQ
PNW,EQ
PNC,EQ
PPG,EQ
PPL,EQ
PFG,EQ
PG,EQ
PGR,EQ
PLD,EQ
PRU,EQ
PEG,EQ
PTC,EQ
PSA,EQ
PHM,EQ
PWR,EQ
QCOM,EQ
DGX,EQ
Q,EQ
RL,EQ
RJF,EQ
RTX,EQ
O,EQ
REG,EQ
REGN,EQ
RF,EQ
RSG,EQ
RMD,EQ
RVTY,EQ
HOOD,EQ
ROK,EQ
ROL,EQ
ROP,EQ
ROST,EQ
RCL,EQ
SPGI,EQ
CRM,EQ
SNDK,EQ
SBAC,EQ
SLB,EQ
STX,EQ
SRE,EQ
NOW,EQ
SHW,EQ
SPG,EQ
SWKS,EQ
SJM,EQ
SW,EQ
SNA,EQ
SOLV,EQ
SO,EQ
LUV,EQ
SWK,EQ
SBUX,EQ
STT,EQ
STLD,EQ
STE,EQ
SYK,EQ
SMCI,EQ
SYF,EQ
SNPS,EQ
SYY,EQ
TMUS,EQ
TROW,EQ
TTWO,EQ
TPR,EQ
TRGP,EQ
TGT,EQ
TEL,EQ
TDY,EQ
TER,EQ
TSLA,EQ
TXN,EQ
TPL,EQ
TXT,EQ
TMO,EQ
TJX,EQ
TKO,EQ
TTD,EQ
TSCO,EQ
TT,EQ
TDG,EQ
TRV,EQ
TRMB,EQ
TFC,EQ
TYL,EQ
TSN,EQ
USB,EQ
UBER,EQ
UDR,EQ
ULTA,EQ
UNP,EQ
UAL,EQ
UPS,EQ
URI,EQ
UNH,EQ
UHS,EQ
VLO,EQ
VEEV,EQ
VTR,EQ
VLTO,EQ
VRSN,EQ
VRSK,EQ
VZ,EQ
VRTX,EQ
VRT,EQ
VTRS,EQ
VICI,EQ
V,EQ
VST,EQ
VMC,EQ
WRB,EQ
GWW,EQ
WAB,EQ
WMT,EQ
DIS,EQ
WBD,EQ
WM,EQ
WAT,EQ
WEC,EQ
WFC,EQ
WELL,EQ
WST,EQ
WDC,EQ
WY,EQ
WSM,EQ
WMB,EQ
WTW,EQ
WDAY,EQ
WYNN,EQ
XEL,EQ
XYL,EQ
YUM,EQ
ZBRA,EQ
ZBH,EQ
ZTS,EQ
