date,equity,held
2016-05-24,750.0,0
2016-05-25,765.5549449646392,1
2016-05-26,771.9662709625542,1
2016-05-27,783.5829332564697,1
2016-05-31,788.2596301795296,1
2016-06-01,788.5617615737611,1
2016-06-02,793.011678817218,1
2016-06-03,782.1497110401286,1
2016-06-06,790.522626926431,1
2016-06-07,784.9409848921116,1
2016-06-08,788.4106053096807,1
2016-06-09,784.9409848921118,1
2016-06-10,758.53971844612,1
2016-06-13,739.0784173709836,1
2016-06-14,739.4556740624319,1
2016-06-15,732.8174778179491,1
2016-06-16,738.0979846946486,1
2016-06-17,712.8281260551429,1
2016-06-20,712.2578635542988,0
2016-06-21,712.2578635542988,0
2016-06-22,712.2578635542988,0
2016-06-23,712.2578635542988,0
2016-06-24,624.4614957578208,1
2016-06-27,623.9619265612146,0
2016-06-28,623.9619265612146,0
2016-06-29,623.9619265612146,0
2016-06-30,623.9619265612146,0
2016-07-01,623.9619265612146,0
2016-07-05,612.4071947082721,1
2016-07-06,611.9172689525054,0
2016-07-07,617.2247257723747,1
2016-07-08,645.7502541791312,1
2016-07-11,656.774569994113,1
2016-07-12,667.1133760645099,1
2016-07-13,662.4420836880525,1
2016-07-14,675.8952591631322,1
2016-07-15,672.096053035322,1
2016-07-18,685.4871609759842,1
2016-07-19,678.3868593791051,1
2016-07-20,701.6182140504516,1
2016-07-21,697.4454810137071,1
2016-07-22,705.5421534883924,1
2016-07-25,706.1649226771021,1
2016-07-26,708.5317148027824,1
2016-07-27,722.3584171867966,1
2016-07-28,730.2062212825163,1
2016-07-29,735.0019478484564,1
2016-08-01,746.5240752015316,1
2016-08-02,729.7079610634511,1
2016-08-03,736.6212374752962,1
2016-08-04,743.2235031935961,1
2016-08-05,764.7110592684577,1
2016-08-08,762.282050048036,1
2016-08-09,767.3267945532657,1
2016-08-10,761.4098142390649,1
2016-08-11,771.2505844308827,1
2016-08-12,772.6828488726885,1
2016-08-15,782.3993344353472,1
2016-08-16,770.0671883680424,1
2016-08-17,773.6798927719522,1
2016-08-18,774.4271709303067,1
2016-08-19,773.3682090569494,1
2016-08-22,774.115636775628,1
2016-08-23,778.7247120573439,1
2016-08-24,763.7140901493561,1
2016-08-25,760.101834426418,1
2016-08-26,763.7768307052312,1
2016-08-29,765.8943057709741,1
2016-08-30,758.981029359129,1
2016-08-31,756.9877641423831,1
2016-09-01,760.3508523657077,1
2016-09-02,769.2575435546227,1
2016-09-06,783.5204386232843,1
2016-09-07,784.9527030650902,1
2016-09-08,771.4996771503345,1
2016-09-09,713.015981994206,1
2016-09-12,749.5763022916351,1
2016-09-13,731.8876532239357,1
2016-09-14,741.2924550715918,1
2016-09-15,775.6727840878885,1
2016-09-16,774.8009221797272,1
2016-09-19,764.6485430530686,1
2016-09-20,768.8840166456881,1
2016-09-21,791.243733749359,1
2016-09-22,809.7416537296684,1
2016-09-23,795.1674488468138,1
2016-09-26,775.4236165882749,1
2016-09-27,797.4098067830113,1
2016-09-28,801.7693406643039,1
2016-09-29,784.7661265610274,1
2016-09-30,800.8972544156566,1
2016-10-03,799.0912387244304,1
2016-10-04,794.5445300977798,1
2016-10-05,802.828152977337,1
2016-10-06,801.5826145999174,1
2016-10-07,796.3508449096537,1
2016-10-10,810.6132912973436,1
2016-10-11,777.1051233098559,1
2016-10-12,775.4856841226921,1
2016-10-13,766.3926407702006,1
2016-10-14,768.1365889270093,1
2016-10-17,762.842602142004,1
2016-10-18,782.399334435347,1
2016-10-19,782.7107190297019,1
2016-10-20,779.4095487804711,1
2016-10-21,787.8803464053864,1
2016-10-24,816.5925634864481,1
2016-10-25,808.4336739170213,1
2016-10-26,792.9250909106163,1
2016-10-27,781.8387075612169,1
2016-10-28,768.3233149913958,1
2016-10-31,763.9635567696174,1
2016-11-01,748.2683224789879,1
2016-11-02,728.7734333795767,1
2016-11-03,707.7843618642659,1
2016-11-04,699.749906484322,1
2016-11-07,749.887537325666,1
2016-11-08,764.5863259583273,1
2016-11-09,775.2990328384683,1
2016-11-10,738.4276270673321,1
2016-11-11,737.8048578786223,1
2016-11-14,712.8913234642372,1
2016-11-15,745.9014555731458,1
2016-11-16,758.0465764554165,1
2016-11-17,775.6103426526613,1
2016-11-18,766.8909009892662,1
2016-11-21,789.9358287168743,1
2016-11-22,797.0361303137535,1
2016-11-23,787.4443032810633,1
2016-11-25,795.0427903168455,1
2016-11-28,790.6205158796778,1
2016-11-29,798.219077695622,1
2016-11-30,772.3718381791438,1
2016-12-01,729.9572781233888,1
2016-12-02,732.8842484422279,1
2016-12-05,749.8252454507627,1
2016-12-06,755.2439655458987,1
2016-12-07,783.2711963435092,1
2016-12-08,788.0672220300974,1
2016-12-09,806.5027005751796,1
2016-12-12,795.2918830362973,1
2016-12-13,826.3711913636871,1
2016-12-14,820.3296272996795,1
2016-12-15,825.3122294903297,1
2016-12-16,815.2845836738019,1
2016-12-19,825.2502367360742,1
2016-12-20,835.2152915570509,1
2016-12-21,832.2880221175641,1
2016-12-22,825.0632863312021,1
2016-12-23,827.616580180783,1
2016-12-27,839.6995587484743,1
2016-12-28,820.267410204938,1
2016-12-29,816.2813284524178,1
2016-12-30,792.4269802518758,1
2017-01-03,811.6099612957986,1
2017-01-04,825.4368132401366,1
2017-01-05,840.0733847780565,1
2017-01-06,861.3741400083702,1
2017-01-09,870.0940303527369,1
2017-01-10,875.0764829830632,1
2017-01-11,881.8029585503601,1
2017-01-12,877.3186913589369,1
2017-01-13,887.4084047098825,1
2017-01-17,879.0626395157457,1
2017-01-18,885.0420612651737,1
2017-01-19,882.6751943593314,1
2017-01-20,888.4051494884982,1
2017-01-23,890.3978912441105,1
2017-01-24,908.9584022199713,1
2017-01-25,935.4910019207103,1
2017-01-26,939.352425143262,1
2017-01-27,943.8367671148474,1
2017-01-30,922.411577695051,1
2017-01-31,917.304316974432,1
2017-02-01,934.7438733226799,1
2017-02-02,932.3768568565137,1
2017-02-03,940.473529331199,1
2017-02-06,943.9615004249781,1
2017-02-07,953.677761647151,1
2017-02-08,959.0341150872216,1
2017-02-09,968.9990951280365,1
2017-02-10,978.5908473805648,1
2017-02-13,995.7808623283893,1
2017-02-14,1005.1232227408183,1
2017-02-15,1022.4380457789355,1
2017-02-16,1021.5659595302882,1
2017-02-17,1034.3965153769823,1
2017-02-21,1050.8390278259662,1
2017-02-22,1050.9638359162589,1
2017-02-23,1039.6282102870841,1
2017-02-24,1045.2336564466061,1
2017-02-27,1048.347951071127,1
