Symbol,Series
TSLA,EQ
NVDA,EQ
QQQ,EQ
AAPL,EQ
AVGO,EQ
GOOGL,EQ
MSFT,EQ
META,EQ
AMZN,EQ
GOOG,EQ
PLTR,EQ
AMD,EQ
MU,EQ
TQQQ,EQ
MSTR,EQ
NFLX,EQ
HOOD,EQ
GLD,EQ
ORCL,EQ
SNDK,EQ
LLY,EQ
INTC,EQ
COST,EQ
CRWV,EQ
TLT,EQ
COIN,EQ
NBIS,EQ
APP,EQ
IREN,EQ
LRCX,EQ
CSCO,EQ
SOFI,EQ
WMT,EQ
WBD,EQ
LITE,EQ
GEV,EQ
JPM,EQ
MRVL,EQ
PFE,EQ
AMAT,EQ
UNH,EQ
SHOP,EQ
WDC,EQ
PEP,EQ
LIN,EQ
RKLB,EQ
SNPS,EQ
CRM,EQ
PANW,EQ
UBER,EQ
CRDO,EQ
TXN,EQ
RIVN,EQ
MELI,EQ
ALAB,EQ
ASML,EQ
PG,EQ
V,EQ
AMGN,EQ
CMCSA,EQ
CAT,EQ
ADBE,EQ
VRT,EQ
JNJ,EQ
BA,EQ
HD,EQ
ISRG,EQ
ABBV,EQ
QCOM,EQ
TMUS,EQ
ASTS,EQ
KVUE,EQ
MRK,EQ
BAC,EQ
RGTI,EQ
MA,EQ
NKE,EQ
C,EQ
PYPL,EQ
CRWD,EQ
ETN,EQ
XOM,EQ
DIS,EQ
GS,EQ
CIFR,EQ
MDB,EQ
GILD,EQ
LULU,EQ
KMB,EQ
APLD,EQ
INTU,EQ
TMO,EQ
GE,EQ
AMCR,EQ
REGN,EQ
DDOG,EQ
APH,EQ
COHR,EQ
SMCI,EQ
CEG,EQ
SBUX,EQ
HON,EQ
VZ,EQ
PDD,EQ
KO,EQ
ACN,EQ
ANET,EQ
DHR,EQ
LEN,EQ
EXPE,EQ
AAL,EQ
ZTS,EQ
IBM,EQ
AXON,EQ
MS,EQ
WFC,EQ
BMY,EQ
ROST,EQ
NEM,EQ
WDAY,EQ
TJX,EQ
COF,EQ
PM,EQ
FISV,EQ
HPE,EQ
AXP,EQ
TTD,EQ
MDLN,EQ
NEE,EQ
CME,EQ
MDLZ,EQ
DELL,EQ
VRTX,EQ
CIEN,EQ
ORLY,EQ
SPGI,EQ
MPWR,EQ
ABNB,EQ
WULF,EQ
MCD,EQ
TGT,EQ
SCHW,EQ
F,EQ
DXCM,EQ
UNP,EQ
SYK,EQ
AMT,EQ
NXPI,EQ
MCK,EQ
KDP,EQ
TER,EQ
EXE,EQ
DE,EQ
LOW,EQ
ADP,EQ
PGR,EQ
INSM,EQ
ZS,EQ
MCHP,EQ
CDNS,EQ
MNST,EQ
LYFT,EQ
BLK,EQ
UAL,EQ
XEL,EQ
COP,EQ
ADSK,EQ
BX,EQ
SO,EQ
ROP,EQ
COR,EQ
FTNT,EQ
MSI,EQ
MAR,EQ
HCA,EQ
GM,EQ
CI,EQ
SATS,EQ
