Symbol,Series
TSLA,EQ
QQQ,EQ
AMD,EQ
AAPL,EQ
MSFT,EQ
AMZN,EQ
META,EQ
GOOGL,EQ
TLT,EQ
GOOG,EQ
NVDA,EQ
COIN,EQ
TQQQ,EQ
XOM,EQ
LLY,EQ
ADBE,EQ
INTC,EQ
UBER,EQ
MARA,EQ
BA,EQ
COST,EQ
PLTR,EQ
AFRM,EQ
UNH,EQ
CRM,EQ
DIS,EQ
BAC,EQ
PFE,EQ
MU,EQ
GLD,EQ
PDD,EQ
PYPL,EQ
QCOM,EQ
ORCL,EQ
JPM,EQ
HD,EQ
V,EQ
NKE,EQ
ROKU,EQ
CSCO,EQ
RIVN,EQ
CRWD,EQ
XYZ,EQ
MDB,EQ
AMAT,EQ
TXN,EQ
ABNB,EQ
SHOP,EQ
LULU,EQ
SBUX,EQ
INTU,EQ
JNJ,EQ
MA,EQ
PANW,EQ
PG,EQ
PEP,EQ
TMO,EQ
HUM,EQ
DE,EQ
ENPH,EQ
ASML,EQ
CAT,EQ
ABBV,EQ
LIN,EQ
VZ,EQ
TGT,EQ
VRTX,EQ
C,EQ
MELI,EQ
DKNG,EQ
CI,EQ
MCD,EQ
BMY,EQ
LOW,EQ
MRK,EQ
CMCSA,EQ
SIRI,EQ
FDX,EQ
DDOG,EQ
NEE,EQ
OXY,EQ
WFC,EQ
KO,EQ
F,EQ
TMUS,EQ
SNPS,EQ
WDAY,EQ
AMGN,EQ
GS,EQ
DHR,EQ
ARM,EQ
ACN,EQ
RTX,EQ
MS,EQ
SCHW,EQ
COP,EQ
RIOT,EQ
HON,EQ
UPS,EQ
GM,EQ
CCL,EQ
IBM,EQ
CVS,EQ
TTD,EQ
ISRG,EQ
ZS,EQ
AAL,EQ
NXPI,EQ
MRNA,EQ
MRVL,EQ
ON,EQ
REGN,EQ
DXCM,EQ
FTNT,EQ
FSLR,EQ
UNP,EQ
GILD,EQ
TJX,EQ
GE,EQ
ILMN,EQ
SOFI,EQ
AXP,EQ
BLK,EQ
SPGI,EQ
ALB,EQ
AMT,EQ
BDX,EQ
WMT,EQ
LMT,EQ
SLB,EQ
EXPE,EQ
BIDU,EQ
AVGO,EQ
CME,EQ
CHTR,EQ
MPC,EQ
EOG,EQ
KVUE,EQ
TEAM,EQ
BX,EQ
CDNS,EQ
TTWO,EQ
PLD,EQ
MDLZ,EQ
DVN,EQ
MCHP,EQ
FCX,EQ
EL,EQ
ELV,EQ
CCI,EQ
CB,EQ
APD,EQ
NEM,EQ
ADSK,EQ
PSX,EQ
MO,EQ
ADP,EQ
UAL,EQ
SYK,EQ
SHW,EQ
ULTA,EQ
ETN,EQ
ROST,EQ
PM,EQ
URI,EQ
AMCR,EQ
USB,EQ
VLO,EQ
DHI,EQ
AZO,EQ
ZM,EQ
FANG,EQ
CSX,EQ
DAL,EQ
MCK,EQ
FISV,EQ
EXC,EQ
WBD,EQ
ALGN,EQ
PGR,EQ
EQIX,EQ
DUK,EQ
MAR,EQ
DLTR,EQ
EW,EQ
RCL,EQ
O,EQ
AON,EQ
NTES,EQ
HCA,EQ
ZTS,EQ
WYNN,EQ
EBAY,EQ
ROP,EQ
DELL,EQ
CELH,EQ
PNC,EQ
MMM,EQ
NOC,EQ
AEP,EQ
MNST,EQ
BIIB,EQ
COF,EQ
PCG,EQ
D,EQ
VEEV,EQ
DOCU,EQ
MCO,EQ
JCI,EQ
MPWR,EQ
KKR,EQ
PSKY,EQ
TFC,EQ
SO,EQ
EMR,EQ
