Symbol,Series
TSLA,EQ
AMD,EQ
AAPL,EQ
MSFT,EQ
AMZN,EQ
META,EQ
GOOGL,EQ
GOOG,EQ
NVDA,EQ
XOM,EQ
LLY,EQ
ADBE,EQ
INTC,EQ
UBER,EQ
BA,EQ
COST,EQ
UNH,EQ
CRM,EQ
DIS,EQ
BAC,EQ
PFE,EQ
MU,EQ
PYPL,EQ
QCOM,EQ
ORCL,EQ
JPM,EQ
HD,EQ
V,EQ
NKE,EQ
CSCO,EQ
AMAT,EQ
TXN,EQ
ABNB,EQ
LULU,EQ
SBUX,EQ
INTU,EQ
JNJ,EQ
MA,EQ
PANW,EQ
PG,EQ
PEP,EQ
TMO,EQ
HUM,EQ
DE,EQ
ENPH,EQ
CAT,EQ
ABBV,EQ
LIN,EQ
VZ,EQ
TGT,EQ
VRTX,EQ
C,EQ
CI,EQ
MCD,EQ
BMY,EQ
LOW,EQ
MRK,EQ
CMCSA,EQ
FDX,EQ
NEE,EQ
OXY,EQ
WFC,EQ
KO,EQ
F,EQ
TMUS,EQ
SNPS,EQ
AMGN,EQ
GS,EQ
DHR,EQ
ACN,EQ
RTX,EQ
MS,EQ
SCHW,EQ
COP,EQ
HON,EQ
UPS,EQ
GM,EQ
CCL,EQ
IBM,EQ
CVS,EQ
ISRG,EQ
AAL,EQ
NXPI,EQ
MRNA,EQ
ON,EQ
REGN,EQ
DXCM,EQ
FTNT,EQ
FSLR,EQ
UNP,EQ
GILD,EQ
TJX,EQ
GE,EQ
ILMN,EQ
AXP,EQ
BLK,EQ
SPGI,EQ
ALB,EQ
AMT,EQ
BDX,EQ
