Symbol,Series
NOVT,EQ
LNTH,EQ
PTCT,EQ
CIFR,EQ
OTIS,EQ
ORLY,EQ
NWSA,EQ
NXPI,EQ
OZK,EQ
NXST,EQ
O,EQ
ODFL,EQ
OKE,EQ
OKTA,EQ
OMC,EQ
NVR,EQ
ON,EQ
ONB,EQ
ONC,EQ
ORCL,EQ
OXY,EQ
AAL,EQ
NVDA,EQ
NVMI,EQ
NOC,EQ
NDSN,EQ
NEE,EQ
NEM,EQ
NFLX,EQ
NI,EQ
NICE,EQ
NKE,EQ
NOW,EQ
NUE,EQ
NRG,EQ
NSC,EQ
NTAP,EQ
NTES,EQ
NTNX,EQ
NTRA,EQ
NTRS,EQ
PAA,EQ
PAYX,EQ
PANW,EQ
NCLH,EQ
PNC,EQ
PNR,EQ
PNW,EQ
PODD,EQ
POOL,EQ
PPC,EQ
PPG,EQ
PPL,EQ
PRU,EQ
PSA,EQ
PSKY,EQ
PSX,EQ
PTC,EQ
PTGX,EQ
PWR,EQ
PYPL,EQ
QCOM,EQ
PM,EQ
PLUG,EQ
PLTR,EQ
PEGA,EQ
PCAR,EQ
PCG,EQ
PCTY,EQ
PCVX,EQ
PDBC,EQ
PDD,EQ
PEG,EQ
PEP,EQ
PLD,EQ
PFE,EQ
PFG,EQ
PG,EQ
PGR,EQ
PH,EQ
PHM,EQ
PKG,EQ
NDAQ,EQ
NBIX,EQ
QRVO,EQ
LITE,EQ
LLY,EQ
LMT,EQ
LNT,EQ
LOGI,EQ
LOW,EQ
LRCX,EQ
LSCC,EQ
LSTR,EQ
LULU,EQ
LUV,EQ
LVS,EQ
LYB,EQ
LYFT,EQ
LYV,EQ
MA,EQ
MAA,EQ
MANH,EQ
LKQ,EQ
LIN,EQ
NBIS,EQ
LII,EQ
KLAC,EQ
KLIC,EQ
KMB,EQ
KMI,EQ
KO,EQ
KR,EQ
KTOS,EQ
L,EQ
LAMR,EQ
LDOS,EQ
LECO,EQ
LEGN,EQ
LEN,EQ
LFUS,EQ
LH,EQ
LHX,EQ
LI,EQ
MAR,EQ
MARA,EQ
MAS,EQ
MASI,EQ
MPWR,EQ
MRCY,EQ
MRK,EQ
MRNA,EQ
MRSH,EQ
MRVL,EQ
MS,EQ
MSCI,EQ
MSFT,EQ
MSI,EQ
MSTR,EQ
MTB,EQ
MTCH,EQ
MTD,EQ
MTSI,EQ
MU,EQ
MXL,EQ
MPC,EQ
MOS,EQ
MORN,EQ
MEDP,EQ
MBLY,EQ
MCD,EQ
MCHP,EQ
MCK,EQ
MCO,EQ
MDB,EQ
MDLZ,EQ
MELI,EQ
MO,EQ
META,EQ
MGM,EQ
MKC,EQ
MKSI,EQ
MLM,EQ
MMM,EQ
MNST,EQ
QQQ,EQ
RCL,EQ
KIM,EQ
UHS,EQ
UMBF,EQ
UNH,EQ
UNP,EQ
UPS,EQ
URBN,EQ
URI,EQ
USB,EQ
UTHR,EQ
UUP,EQ
V,EQ
VEEV,EQ
VIAV,EQ
VICI,EQ
VICR,EQ
VLO,EQ
VLY,EQ
VMC,EQ
ULTA,EQ
UDR,EQ
REG,EQ
UBSI,EQ
TROW,EQ
TRV,EQ
TSCO,EQ
TSEM,EQ
TSLA,EQ
TSN,EQ
TT,EQ
TTD,EQ
TTEK,EQ
TTWO,EQ
TW,EQ
TXN,EQ
TXRH,EQ
TXT,EQ
TYL,EQ
UAL,EQ
UBER,EQ
VOD,EQ
VRSK,EQ
VRSN,EQ
VRT,EQ
WTW,EQ
WWD,EQ
WY,EQ
WYNN,EQ
XEL,EQ
XOM,EQ
XP,EQ
XYL,EQ
XYZ,EQ
YUM,EQ
Z,EQ
ZBH,EQ
ZBRA,EQ
ZG,EQ
ZION,EQ
ZM,EQ
ZS,EQ
WTFC,EQ
WST,EQ
WSM,EQ
WAT,EQ
VRTX,EQ
VSAT,EQ
VST,EQ
VTR,EQ
VTRS,EQ
VZ,EQ
WAB,EQ
WBD,EQ
WMT,EQ
WDAY,EQ
WDC,EQ
WEC,EQ
WFC,EQ
WM,EQ
WMB,EQ
WMG,EQ
TRMB,EQ
TRGP,EQ
TQQQ,EQ
SMCI,EQ
RVTY,EQ
RYAAY,EQ
SAIA,EQ
SANM,EQ
SBAC,EQ
SBRA,EQ
SBUX,EQ
SCHW,EQ
SEIC,EQ
SFM,EQ
SHOP,EQ
SHW,EQ
SIMO,EQ
SIRI,EQ
SITM,EQ
SJM,EQ
SLAB,EQ
RVMD,EQ
RTX,EQ
RSG,EQ
RKLB,EQ
REGN,EQ
RF,EQ
RGEN,EQ
RGLD,EQ
RIOT,EQ
