Symbol,Series
OTIS,EQ
ORLY,EQ
NWSA,EQ
NXPI,EQ
O,EQ
ODFL,EQ
OKE,EQ
OMC,EQ
NVR,EQ
ON,EQ
ORCL,EQ
OXY,EQ
AAL,EQ
NVDA,EQ
NOC,EQ
NDSN,EQ
NEE,EQ
NEM,EQ
NFLX,EQ
NI,EQ
NKE,EQ
NOW,EQ
NUE,EQ
NRG,EQ
NSC,EQ
NTAP,EQ
NTRS,EQ
PAYX,EQ
NCLH,EQ
PNC,EQ
PNR,EQ
PNW,EQ
POOL,EQ
PPG,EQ
PPL,EQ
PRU,EQ
PSA,EQ
PSX,EQ
PTC,EQ
PWR,EQ
PYPL,EQ
QCOM,EQ
PM,EQ
PCAR,EQ
PCG,EQ
PEG,EQ
PEP,EQ
PLD,EQ
PFE,EQ
PFG,EQ
PG,EQ
PGR,EQ
PH,EQ
PHM,EQ
PKG,EQ
NDAQ,EQ
QRVO,EQ
LLY,EQ
LMT,EQ
LNT,EQ
LOW,EQ
LRCX,EQ
LUV,EQ
LVS,EQ
LYB,EQ
LYV,EQ
MA,EQ
MAA,EQ
LKQ,EQ
LIN,EQ
KLAC,EQ
KMB,EQ
KMI,EQ
KO,EQ
KR,EQ
L,EQ
LDOS,EQ
LEN,EQ
LH,EQ
LHX,EQ
MAR,EQ
MAS,EQ
MPWR,EQ
MRK,EQ
MRNA,EQ
MS,EQ
MSCI,EQ
MSFT,EQ
MSI,EQ
MTB,EQ
MTCH,EQ
MTD,EQ
MU,EQ
MPC,EQ
MOS,EQ
MCD,EQ
MCHP,EQ
MCK,EQ
MCO,EQ
MDLZ,EQ
